Statement,Header,Field Name,Field Value
Statement,Data,BrokerName,Interactive Brokers LLC
Statement,Data,BrokerAddress,"Two Pickwick Plaza, Greenwich, CT 06830"
Statement,Data,Title,Activity Statement
Statement,Data,Period,"January 1, 2020 - December 31, 2020"
Statement,Data,WhenGenerated,"2024-02-24, 02:58:29 EST"
Open Positions,Header,DataDiscriminator,Asset Category,Currency,Symbol,Open,Quantity,Mult,Cost Price,Cost Basis,Close Price,Value,Unrealized P/L,Code
Open Positions,Data,Summary,Stocks,USD,UNH,-,-100,1,333.18465928,-33318.465928,350.68,-35068,-1749.534072,
Open Positions,Data,Lot,Stocks,USD,UNH,"2020-11-06, 16:20:00",-100,,333.18465928,-33318.465928,350.68,-35068,-1749.534072,ST
Open Positions,Data,Summary,Stocks,USD,UPS,-,-100,1,140.21012414,-14021.012414,168.4,-16840,-2818.987586,
Open Positions,Data,Lot,Stocks,USD,UPS,"2020-07-31, 16:20:00",-100,,140.21012414,-14021.012414,168.4,-16840,-2818.987586,ST
Open Positions,Data,Summary,Stocks,USD,YINN,-,200,1,20.447762885,4089.552577,20.18,4036,-53.552577,
Open Positions,Data,Lot,Stocks,USD,YINN,"2020-02-07, 16:20:00",100,,20.08296669,2008.296669,20.18,2018,9.703331,ST
Open Positions,Data,Lot,Stocks,USD,YINN,"2020-01-31, 16:20:00",100,,20.81255908,2081.255908,20.18,2018,-63.255908,ST
Open Positions,Total,,Stocks,USD,,,,,,-67259.018495,,-106843,-39583.981505,
Open Positions,Header,DataDiscriminator,Asset Category,Currency,Symbol,Open,Quantity,Mult,Cost Price,Cost Basis,Close Price,Value,Unrealized P/L,Code
Open Positions,Data,Summary,Equity and Index Options,USD,AAL 08JAN21 25.0 C,-,-1,100,0.39273316,-39.273316,0.0001,-0.01,39.263316,
Open Positions,Data,Lot,Equity and Index Options,USD,AAL 08JAN21 25.0 C,"2020-12-07, 10:47:39",-1,,0.39273316,-39.273316,0.0001,-0.01,39.263316,ST
Open Positions,Data,Summary,Equity and Index Options,USD,AIG 15JAN21 35.0 P,-,4,100,7.359188,2943.6752,0.275,110,-2833.6752,
Open Positions,Data,Lot,Equity and Index Options,USD,AIG 15JAN21 35.0 P,"2020-07-02, 10:47:26",1,,7.381938,738.1938,0.275,27.5,-710.6938,ST
Open Positions,Data,Lot,Equity and Index Options,USD,AIG 15JAN21 35.0 P,"2020-07-02, 10:47:26",1,,7.550938,755.0938,0.275,27.5,-727.5938,ST
