Statement,Header,Field Name,Field Value
Statement,Data,BrokerName,Interactive Brokers LLC
Statement,Data,BrokerAddress,"Two Pickwick Plaza, Greenwich, CT 06830"
Statement,Data,Title,Activity Statement
Statement,Data,Period,"February 24, 2017 - December 29, 2017"
Statement,Data,WhenGenerated,"2024-02-24, 03:03:22 EST"
Open Positions,Header,DataDiscriminator,Asset Category,Currency,Symbol,Open,Quantity,Mult,Cost Price,Cost Basis,Close Price,Value,Unrealized P/L,Code
Open Positions,Data,Lot,Equity and Index Options,USD,BMY 02FEB18 56.0 P,"2017-12-27, 13:12:19",-4,,0.322807377,-129.122951,0.3996,-159.84,-30.717049,ST
Open Positions,Data,Lot,Equity and Index Options,USD,BMY 02FEB18 56.0 P,"2017-12-27, 13:12:19",-4,,0.322057377,-128.822951,0.3996,-159.84,-31.017049,ST
Open Positions,Data,Summary,Equity and Index Options,USD,BSX 09FEB18 22.5 P,-,-22,100,0.155061304,-341.134869,0.1805,-397.1,-55.965131,
Open Positions,Data,Lot,Equity and Index Options,USD,BSX 09FEB18 22.5 P,"2017-12-29, 13:32:12",-22,,0.155061304,-341.134869,0.1805,-397.1,-55.965131,ST
Open Positions,Data,Summary,Equity and Index Options,USD,CAH 29DEC17 50.0 P,-,-7,100,0.250059226,-175.041458,0,0,175.041458,
Open Positions,Data,Lot,Equity and Index Options,USD,CAH 29DEC17 50.0 P,"2017-11-27, 10:09:57",-7,,0.250059226,-175.041458,0,0,175.041458,ST
Open Positions,Data,Summary,Equity and Index Options,USD,CAT 05JAN18 152.5 C,-,-3,100,0.676249293,-202.874788,5.3277,-1598.31,-1395.435212,
Open Positions,Data,Lot,Equity and Index Options,USD,CAT 05JAN18 152.5 C,"2017-12-04, 10:07:58",-3,,0.676249293,-202.874788,5.3277,-1598.31,-1395.435212,ST
Open Positions,Data,Summary,Equity and Index Options,USD,CBS 29DEC17 50.5 P,-,-7,100,0.276258531,-193.380972,0,0,193.380972,
Open Positions,Data,Lot,Equity and Index Options,USD,CBS 29DEC17 50.5 P,"2017-11-27, 10:31:13",-7,,0.276258531,-193.380972,0,0,193.380972,ST
Open Positions,Data,Summary,Equity and Index Options,USD,CELG 29DEC17 94.0 P,-,-3,100,0.50625322,-151.875966,0,0,151.875966,
Open Positions,Data,Lot,Equity and Index Options,USD,CELG 29DEC17 94.0 P,"2017-11-27, 11:46:09",-3,,0.50625322,-151.875966,0,0,151.875966,ST
Open Positions,Data,Summary,Equity and Index Options,USD,CMG 29DEC17 250.0 P,-,-1,100,1.34703382,-134.703382,0,0,134.703382,
Open Positions,Data,Lot,Equity and Index Options,USD,CMG 29DEC17 250.0 P,"2017-11-27, 10:01:12",-1,,1.34703382,-134.703382,0,0,134.703382,ST
Open Positions,Data,Summary,Equity and Index Options,USD,CVS 29DEC17 63.5 P,-,-5,100,0.336257146,-168.128573,0,0,168.128573,
Open Positions,Data,Lot,Equity and Index Options,USD,CVS 29DEC17 63.5 P,"2017-11-27, 10:56:59",-5,,0.336257146,-168.128573,0,0,168.128573,ST
Open Positions,Data,Summary,Equity and Index Options,USD,DG 29DEC17 92.0 P,-,-6,100,0.350556915,-210.334149,0,0,210.334149,
Open Positions,Data,Lot,Equity and Index Options,USD,DG 29DEC17 92.0 P,"2017-12-26, 13:56:33",-6,,0.350556915,-210.334149,0,0,210.334149,ST
Open Positions,Data,Summary,Equity and Index Options,USD,DHI 29DEC17 50.5 P,-,-12,100,0.182060611,-218.472733,0,0,218.472733,
Open Positions,Data,Lot,Equity and Index Options,USD,DHI 29DEC17 50.5 P,"2017-12-26, 13:57:02",-12,,0.182060611,-218.472733,0,0,218.472733,ST
Open Positions,Data,Summary,Equity and Index Options,USD,DLTR 29DEC17 108.0 P,-,-5,100,0.550552294,-275.276147,0.69,-345,-69.723853,
