Statement,Header,Field Name,Field Value,,,,,,,,,,,,,,
Statement,Data,BrokerName,Interactive Brokers LLC,,,,,,,,,,,,,,
Statement,Data,BrokerAddress,"Two Pickwick Plaza, Greenwich, CT 06830",,,,,,,,,,,,,,
Statement,Data,Title,Activity Statement,,,,,,,,,,,,,,
Statement,Data,Period,"January 1, 2023 - December 31, 2023",,,,,,,,,,,,,,
Statement,Data,WhenGenerated,"2024-02-24, 02:44:21 EST",,,,,,,,,,,,,,
Open Positions,Header,DataDiscriminator,Asset Category,Currency,Symbol,Open,Quantity,Mult,Cost Price,Cost Basis,Close Price,Value,Unrealized P/L,Code,,,
Trades,Data,ClosedLot,Stocks,USD,SPY,2022-04-20,,7,446.777336714,,,,3127.441357,-92.704255,,LT,
Trades,Data,ClosedLot,Stocks,USD,SPY,2022-04-21,,7,446.897336714,,,,3128.281357,-93.544255,,LT,
Trades,Data,ClosedLot,Stocks,USD,SPY,2022-04-22,,7,432.847336714,,,,3029.931357,4.805745,,LT,
Trades,Data,ClosedLot,Stocks,USD,SPY,2022-05-13,,100,421.08615059,,,,42108.615059,1244.772119,,LT,
Trades,Data,ClosedLot,Stocks,USD,SPY,2022-05-18,,37,401.606766405,,,,14859.450357,1181.302899,,LT,
Trades,Data,ClosedLot,Stocks,USD,SPY,2022-06-30,,400,388.682589328,,,,155473.035731,17940.512981,,ST,
Trades,SubTotal,,Stocks,USD,SPY,,,-600,,,259800,-2.1654,-240257.87426,19862.448804,-2508,,
Trades,Data,Order,Stocks,USD,UNP,"2023-12-06, 16:20:00",-,-100,225,231.49,22500,-0.1945,-20885.153964,1834.608086,-649,A,C
Trades,Data,Trade,Stocks,USD,UNP,"2023-12-06, 16:20:00",--,-100,225,231.49,22500,-0.1945,-20885.153964,1834.608086,-649,A,C
Trades,Data,ClosedLot,Stocks,USD,UNP,2022-06-17,,100,208.85153964,,,,20885.153964,1834.608086,,LT,
Trades,SubTotal,,Stocks,USD,UNP,,,-100,,,22500,-0.1945,-20885.153964,1834.608086,-649,,
Trades,Data,Order,Stocks,USD,VTI,"2023-07-21, 16:20:00",-,-700,225,225.52,157500,-1.3615,-149959.844442,7715.182231,-364,A,C
Trades,Data,Trade,Stocks,USD,VTI,"2023-07-21, 16:20:00",--,-700,225,225.52,157500,-1.3615,-149959.844442,7715.182231,-364,A,C
Trades,Data,ClosedLot,Stocks,USD,VTI,2022-04-11,,27,223.096372481,,,,6023.602057,58.148972,,LT,
Trades,Data,ClosedLot,Stocks,USD,VTI,2022-04-12,,27,222.840272481,,,,6016.687357,65.063672,,LT,
Trades,Data,ClosedLot,Stocks,USD,VTI,2022-04-13,,27,221.290272481,,,,5974.837357,106.913672,,LT,
Trades,Data,ClosedLot,Stocks,USD,VTI,2022-04-14,,27,223.400272481,,,,6031.807357,49.943672,,LT,
Trades,Data,ClosedLot,Stocks,USD,VTI,2022-04-18,,27,219.310272481,,,,5921.377357,160.373672,,LT,
Trades,Data,ClosedLot,Stocks,USD,VTI,2022-04-19,,27,223.363172481,,,,6030.805657,50.945372,,LT,
Trades,Data,ClosedLot,Stocks,USD,VTI,2022-04-20,,27,224.970272481,,,,6074.197357,7.553672,,LT,
Trades,Data,ClosedLot,Stocks,USD,VTI,2022-04-21,,27,224.750272481,,,,6068.257357,13.493672,,LT,
Trades,Data,ClosedLot,Stocks,USD,VTI,2022-04-22,,27,217.740472481,,,,5878.992757,202.758272,,LT,
Trades,Data,ClosedLot,Stocks,USD,VTI,2022-05-09,,400,211.19808368,,,,84479.233472,5620.781768,,LT,
Trades,Data,ClosedLot,Stocks,USD,VTI,2022-05-18,,57,201.05344486,,,,11460.046357,1379.205815,,LT,
Trades,SubTotal,,Stocks,USD,VTI,,,-700,,,157500,-1.3615,-149959.844442,7715.182231,-364,,
Trades,Data,Order,Stocks,USD,VZ,"2023-12-08, 16:20:00",-,-300,37,37.67,11100,-0.1323,-13716.815914,-2377.765204,-201,A,C
Trades,Data,Trade,Stocks,USD,VZ,"2023-12-08, 16:20:00",--,-300,37,37.67,11100,-0.1323,-13716.815914,-2377.765204,-201,A,C
Trades,Data,ClosedLot,Stocks,USD,VZ,2022-08-12,,300,45.722719713,,,,13716.815914,-2377.765204,,LT,
Trades,SubTotal,,Stocks,USD,VZ,,,-300,,,11100,-0.1323,-13716.815914,-2377.765204,-201,,
Trades,Total,,Stocks,USD,,,,,,,566800,-4.9404,-506575.623809,63269.508846,-8860, ,
Trades,Header,DataDiscriminator,Asset Category,Currency,Symbol,Date/Time,Exchange,Quantity,T. Price,C. Price,Proceeds,Comm/Fee,Basis,Realized P/L,MTM P/L,Code,
Trades,Data,Order,Equity and Index Options,USD,AMD 16JUN23 140 C,"2023-05-26, 14:12:58",-,-7,2.25,2.43,1575,-1.91303,-1573.08697,0,-126,O,
Trades,Data,Trade,Equity and Index Options,USD,AMD 16JUN23 140 C,"2023-05-26, 14:12:58",EMERALD,-7,2.25,2.43,1575,-1.91303,-1573.08697,0,-126,O,
Trades,Data,Order,Equity and Index Options,USD,AMD 16JUN23 140 C,"2023-06-16, 16:20:00",-,7,0,0,0,0,1573.08697,1573.08697,0,C,Ep
Trades,Data,Trade,Equity and Index Options,USD,AMD 16JUN23 140 C,"2023-06-16, 16:20:00",--,7,0,0,0,0,1573.08697,1573.08697,0,C,Ep
Trades,Data,ClosedLot,Equity and Index Options,USD,AMD 16JUN23 140 C,2023-05-26,,-7,2.2472671,,,,-1573.08697,1573.08697,,ST,
Trades,SubTotal,,Equity and Index Options,USD,AMD 16JUN23 140 C,,,0,,,1575,-1.91303,0,1573.08697,-126,,
Trades,Data,Order,Equity and Index Options,USD,AMD 07JUL23 110 C,"2023-06-27, 10:02:07",-,-7,2.44,3.1405,1708,-1.914094,-1706.085906,0,-490.35,O,
Trades,Data,Trade,Equity and Index Options,USD,AMD 07JUL23 110 C,"2023-06-27, 10:02:07",EMERALD,-7,2.44,3.1405,1708,-1.914094,-1706.085906,0,-490.35,O,
Trades,Data,Order,Equity and Index Options,USD,AMD 07JUL23 110 C,"2023-07-07, 16:20:00",-,7,0,3.17,0,0,1706.085906,0,2219,A,C
Trades,Data,Trade,Equity and Index Options,USD,AMD 07JUL23 110 C,"2023-07-07, 16:20:00",--,7,0,3.17,0,0,1706.085906,0,2219,A,C
Trades,Data,ClosedLot,Equity and Index Options,USD,AMD 07JUL23 110 C,2023-06-27,,-7,2.43726558,,,,-1706.085906,0,,ST,
Trades,SubTotal,,Equity and Index Options,USD,AMD 07JUL23 110 C,,,0,,,1708,-1.914094,0,0,1728.65,,
Trades,Data,Order,Equity and Index Options,USD,EXPE 16JUN23 109 C,"2023-06-02, 15:38:10",-,-1,1.16,1.045,116,-0.622418,-115.377582,0,11.5,O,
Trades,Data,Trade,Equity and Index Options,USD,EXPE 16JUN23 109 C,"2023-06-02, 15:38:10",EMERALD,-1,1.16,1.045,116,-0.622418,-115.377582,0,11.5,O,
Trades,Data,Order,Equity and Index Options,USD,EXPE 16JUN23 109 C,"2023-06-16, 16:20:00",-,1,0,0,0,0,115.377582,115.377582,0,C,Ep
Trades,Data,Trade,Equity and Index Options,USD,EXPE 16JUN23 109 C,"2023-06-16, 16:20:00",--,1,0,0,0,0,115.377582,115.377582,0,C,Ep
Trades,Data,ClosedLot,Equity and Index Options,USD,EXPE 16JUN23 109 C,2023-06-02,,-1,1.15377582,,,,-115.377582,115.377582,,ST,
Trades,SubTotal,,Equity and Index Options,USD,EXPE 16JUN23 109 C,,,0,,,116,-0.622418,0,115.377582,11.5,,
Trades,Data,Order,Equity and Index Options,USD,EXPE 07JUL23 107 C,"2023-06-27, 10:28:05",-,-1,1.46,2.8159,146,-0.622658,-145.377342,0,-135.59,O,
Trades,Data,Trade,Equity and Index Options,USD,EXPE 07JUL23 107 C,"2023-06-27, 10:28:05",EMERALD,-1,1.46,2.8159,146,-0.622658,-145.377342,0,-135.59,O,
Trades,Data,Order,Equity and Index Options,USD,EXPE 07JUL23 107 C,"2023-07-07, 16:20:00",-,1,0,4.88,0,0,145.377342,0,488,A,C
Trades,Data,Trade,Equity and Index Options,USD,EXPE 07JUL23 107 C,"2023-07-07, 16:20:00",--,1,0,4.88,0,0,145.377342,0,488,A,C
Trades,Data,ClosedLot,Equity and Index Options,USD,EXPE 07JUL23 107 C,2023-06-27,,-1,1.45377342,,,,-145.377342,0,,ST,
Trades,SubTotal,,Equity and Index Options,USD,EXPE 07JUL23 107 C,,,0,,,146,-0.622658,0,0,352.41,,
Trades,Data,Order,Equity and Index Options,USD,ISRG 07JUL23 335 C,"2023-06-27, 15:30:52",-,-1,2.33,2.15,233,-0.203354,-232.796646,0,18,O,
Trades,Data,Trade,Equity and Index Options,USD,ISRG 07JUL23 335 C,"2023-06-27, 15:30:52",BATS,-1,2.33,2.15,233,-0.203354,-232.796646,0,18,O,
Trades,Data,Order,Equity and Index Options,USD,ISRG 07JUL23 335 C,"2023-07-07, 16:20:00",-,1,0,0,0,0,232.796646,232.796646,0,C,Ep
Trades,Data,Trade,Equity and Index Options,USD,ISRG 07JUL23 335 C,"2023-07-07, 16:20:00",--,1,0,0,0,0,232.796646,232.796646,0,C,Ep
Trades,Data,ClosedLot,Equity and Index Options,USD,ISRG 07JUL23 335 C,2023-06-27,,-1,2.32796646,,,,-232.796646,232.796646,,ST,
Trades,SubTotal,,Equity and Index Options,USD,ISRG 07JUL23 335 C,,,0,,,233,-0.203354,0,232.796646,18,,
Trades,Data,Order,Equity and Index Options,USD,LOW 17FEB23 222.5 C,"2023-02-13, 15:19:36",-,-1,0.62,0.73,62,-0.6229098,-61.3770902,0,-11,O,
Trades,Data,Trade,Equity and Index Options,USD,LOW 17FEB23 222.5 C,"2023-02-13, 15:19:36",EMERALD,-1,0.62,0.73,62,-0.6229098,-61.3770902,0,-11,O,
Trades,Data,Order,Equity and Index Options,USD,LOW 17FEB23 222.5 C,"2023-02-17, 16:20:00",-,1,0,0,0,0,61.37709,61.37709,0,C,Ep
Trades,Data,Trade,Equity and Index Options,USD,LOW 17FEB23 222.5 C,"2023-02-17, 16:20:00",--,1,0,0,0,0,61.37709,61.37709,0,C,Ep
Trades,Data,ClosedLot,Equity and Index Options,USD,LOW 17FEB23 222.5 C,2023-02-13,,-1,0.6137709,,,,-61.37709,61.37709,,ST,
Trades,SubTotal,,Equity and Index Options,USD,LOW 17FEB23 222.5 C,,,0,,,62,-0.6229098,-0.0000002,61.37709,-11,,
Trades,Data,Order,Equity and Index Options,USD,LOW 09JUN23 212.5 C,"2023-05-26, 15:29:04",-,-1,1.5,1.43,150,-0.62269,-149.37731,0,7,O,
Trades,Data,Trade,Equity and Index Options,USD,LOW 09JUN23 212.5 C,"2023-05-26, 15:29:04",EMERALD,-1,1.5,1.43,150,-0.62269,-149.37731,0,7,O,
Trades,Data,Order,Equity and Index Options,USD,LOW 09JUN23 212.5 C,"2023-06-09, 16:20:00",-,1,0,0,0,0,149.37731,149.37731,0,C,Ep
Trades,Data,Trade,Equity and Index Options,USD,LOW 09JUN23 212.5 C,"2023-06-09, 16:20:00",--,1,0,0,0,0,149.37731,149.37731,0,C,Ep
Trades,Data,ClosedLot,Equity and Index Options,USD,LOW 09JUN23 212.5 C,2023-05-26,,-1,1.4937731,,,,-149.37731,149.37731,,ST,
Trades,SubTotal,,Equity and Index Options,USD,LOW 09JUN23 212.5 C,,,0,,,150,-0.62269,0,149.37731,7,,
Trades,Data,Order,Equity and Index Options,USD,LOW 07JUL23 227.5 C,"2023-06-27, 10:14:53",-,-1,1.33,1.35,133,-0.622554,-132.377446,0,-2,O,
Trades,Data,Trade,Equity and Index Options,USD,LOW 07JUL23 227.5 C,"2023-06-27, 10:14:53",EMERALD,-1,1.33,1.35,133,-0.622554,-132.377446,0,-2,O,
Trades,Data,Order,Equity and Index Options,USD,LOW 07JUL23 227.5 C,"2023-07-07, 16:20:00",-,1,0,0,0,0,132.377446,132.377446,0,C,Ep
Trades,Data,Trade,Equity and Index Options,USD,LOW 07JUL23 227.5 C,"2023-07-07, 16:20:00",--,1,0,0,0,0,132.377446,132.377446,0,C,Ep
Trades,Data,ClosedLot,Equity and Index Options,USD,LOW 07JUL23 227.5 C,2023-06-27,,-1,1.32377446,,,,-132.377446,132.377446,,ST,
Trades,SubTotal,,Equity and Index Options,USD,LOW 07JUL23 227.5 C,,,0,,,133,-0.622554,0,132.377446,-2,,
Trades,Data,Order,Equity and Index Options,USD,PSX 07JUL23 94 C,"2023-06-27, 10:33:22",-,-3,0.8,0.9,240,0.59361,-240.59361,0,-30,O,
Trades,Data,Trade,Equity and Index Options,USD,PSX 07JUL23 94 C,"2023-06-27, 10:33:22",NASDAQBX,-3,0.8,0.9,240,0.59361,-240.59361,0,-30,O,
Trades,Data,Order,Equity and Index Options,USD,PSX 07JUL23 94 C,"2023-07-07, 16:20:00",-,3,0,5.44,0,0,240.59361,0,1632,A,C
Trades,Data,Trade,Equity and Index Options,USD,PSX 07JUL23 94 C,"2023-07-07, 16:20:00",--,3,0,5.44,0,0,240.59361,0,1632,A,C
Trades,Data,ClosedLot,Equity and Index Options,USD,PSX 07JUL23 94 C,2023-06-27,,-3,0.8019787,,,,-240.59361,0,,ST,
Trades,SubTotal,,Equity and Index Options,USD,PSX 07JUL23 94 C,,,0,,,240,0.59361,0,0,1602,,
Trades,Data,Order,Equity and Index Options,USD,SPY 13JUN23 433 C,"2023-06-08, 12:21:35",-,-6,0.54,0.645,324,-1.511532,-322.488468,0,-63,O,
Trades,Data,Trade,Equity and Index Options,USD,SPY 13JUN23 433 C,"2023-06-08, 12:21:35",EMERALD,-6,0.54,0.645,324,-1.511532,-322.488468,0,-63,O,
Trades,Data,Order,Equity and Index Options,USD,SPY 13JUN23 433 C,"2023-06-13, 16:20:00",-,6,0,3.66,0,0,322.488468,0,2196,A,C
Trades,Data,Trade,Equity and Index Options,USD,SPY 13JUN23 433 C,"2023-06-13, 16:20:00",--,6,0,3.66,0,0,322.488468,0,2196,A,C
Trades,Data,ClosedLot,Equity and Index Options,USD,SPY 13JUN23 433 C,2023-06-08,,-6,0.53748078,,,,-322.488468,0,,ST,
Trades,SubTotal,,Equity and Index Options,USD,SPY 13JUN23 433 C,,,0,,,324,-1.511532,0,0,2133,,
Trades,Data,Order,Equity and Index Options,USD,SPY 27JUN23 433 P,"2023-06-15, 09:52:19",-,6,1.88,1.07,-1128,-1.4943,1129.4943,0,-486,O,
Trades,Data,Trade,Equity and Index Options,USD,SPY 27JUN23 433 P,"2023-06-15, 09:52:19",EMERALD,6,1.88,1.07,-1128,-1.4943,1129.4943,0,-486,O,
Trades,Data,Order,Equity and Index Options,USD,SPY 27JUN23 433 P,"2023-06-27, 16:20:00",-,-6,0,0,0,0,-1129.4943,-1129.4943,0,C,Ep
Trades,Data,Trade,Equity and Index Options,USD,SPY 27JUN23 433 P,"2023-06-27, 16:20:00",--,-6,0,0,0,0,-1129.4943,-1129.4943,0,C,Ep
Trades,Data,ClosedLot,Equity and Index Options,USD,SPY 27JUN23 433 P,2023-06-15,,6,1.8824905,,,,1129.4943,-1129.4943,,ST,
Trades,SubTotal,,Equity and Index Options,USD,SPY 27JUN23 433 P,,,0,,,-1128,-1.4943,0,-1129.4943,-486,,
Trades,Data,Order,Equity and Index Options,USD,SPY 07JUL23 434 P,"2023-06-29, 11:40:04",-,6,1.36,1.095,-816,-1.4943,817.4943,0,-159,O,
Trades,Data,Trade,Equity and Index Options,USD,SPY 07JUL23 434 P,"2023-06-29, 11:40:04",EMERALD,6,1.36,1.095,-816,-1.4943,817.4943,0,-159,O,
Trades,Data,Order,Equity and Index Options,USD,SPY 07JUL23 434 P,"2023-07-07, 16:20:00",-,-6,0,0,0,0,-817.4943,-817.4943,0,C,Ep
Trades,Data,Trade,Equity and Index Options,USD,SPY 07JUL23 434 P,"2023-07-07, 16:20:00",--,-6,0,0,0,0,-817.4943,-817.4943,0,C,Ep
Trades,Data,ClosedLot,Equity and Index Options,USD,SPY 07JUL23 434 P,2023-06-29,,6,1.3624905,,,,817.4943,-817.4943,,ST,
Trades,SubTotal,,Equity and Index Options,USD,SPY 07JUL23 434 P,,,0,,,-816,-1.4943,0,-817.4943,-159,,
Trades,Data,Order,Equity and Index Options,USD,UNP 07JUL23 210 C,"2023-06-27, 11:39:38",-,-1,0.38,0.375,38,-0.201794,-37.798206,0,0.5,O,
Trades,Data,Trade,Equity and Index Options,USD,UNP 07JUL23 210 C,"2023-06-27, 11:39:38",BATS,-1,0.38,0.375,38,-0.201794,-37.798206,0,0.5,O,
Trades,Data,Order,Equity and Index Options,USD,UNP 07JUL23 210 C,"2023-07-07, 16:20:00",-,1,0,0,0,0,37.798206,37.798206,0,C,Ep
Trades,Data,Trade,Equity and Index Options,USD,UNP 07JUL23 210 C,"2023-07-07, 16:20:00",--,1,0,0,0,0,37.798206,37.798206,0,C,Ep
Trades,Data,ClosedLot,Equity and Index Options,USD,UNP 07JUL23 210 C,2023-06-27,,-1,0.37798206,,,,-37.798206,37.798206,,ST,
Trades,SubTotal,,Equity and Index Options,USD,UNP 07JUL23 210 C,,,0,,,38,-0.201794,0,37.798206,0.5,,
Trades,Data,Order,Equity and Index Options,USD,UNP 08DEC23 225 C,"2023-11-21, 12:45:34",-,-1,2.2,2.05,220,-0.04345,-219.95655,0,15,O,
Trades,Data,Trade,Equity and Index Options,USD,UNP 08DEC23 225 C,"2023-11-21, 12:45:34",ISE,-1,2.2,2.05,220,-0.04345,-219.95655,0,15,O,
Trades,Data,Order,Equity and Index Options,USD,UNP 08DEC23 225 C,"2023-12-06, 16:20:00",-,1,0,6.6112,0,0,219.95655,0,661.12,A,C
Trades,Data,Trade,Equity and Index Options,USD,UNP 08DEC23 225 C,"2023-12-06, 16:20:00",--,1,0,6.6112,0,0,219.95655,0,661.12,A,C
Trades,Data,ClosedLot,Equity and Index Options,USD,UNP 08DEC23 225 C,2023-11-21,,-1,2.1995655,,,,-219.95655,0,,ST,
Trades,SubTotal,,Equity and Index Options,USD,UNP 08DEC23 225 C,,,0,,,220,-0.04345,0,0,676.12,,
Trades,Data,Order,Equity and Index Options,USD,VTI 17FEB23 215 C,"2023-02-13, 11:14:39",-,-7,0.15,0.125,105,1.3871655,-106.3871655,0,17.5,O,
Trades,Data,Trade,Equity and Index Options,USD,VTI 17FEB23 215 C,"2023-02-13, 11:14:39",NASDAQBX,-7,0.15,0.125,105,1.3871655,-106.3871655,0,17.5,O,
Trades,Data,Order,Equity and Index Options,USD,VTI 17FEB23 215 C,"2023-02-17, 16:20:00",-,7,0,0,0,0,106.387165,106.387165,0,C,Ep
Trades,Data,Trade,Equity and Index Options,USD,VTI 17FEB23 215 C,"2023-02-17, 16:20:00",--,7,0,0,0,0,106.387165,106.387165,0,C,Ep
Trades,Data,ClosedLot,Equity and Index Options,USD,VTI 17FEB23 215 C,2023-02-13,,-7,0.151981664,,,,-106.387165,106.387165,,ST,
Trades,SubTotal,,Equity and Index Options,USD,VTI 17FEB23 215 C,,,0,,,105,1.3871655,-0.0000005,106.387165,17.5,,
Trades,Data,Order,Equity and Index Options,USD,VTI 21JUL23 225 C,"2023-06-27, 14:35:42",-,-7,0.25,0.25,175,1.38817,-176.38817,0,0,O,
