Statement,Header,Field Name,Field Value
Statement,Data,BrokerName,Interactive Brokers LLC
Statement,Data,BrokerAddress,"Two Pickwick Plaza, Greenwich, CT 06830"
Statement,Data,Title,Activity Statement
Statement,Data,Period,"January 1, 2019 - December 31, 2019"
Statement,Data,WhenGenerated,"2024-02-24, 03:00:45 EST"
Open Positions,Header,DataDiscriminator,Asset Category,Currency,Symbol,Open,Quantity,Mult,Cost Price,Cost Basis,Close Price,Value,Unrealized P/L,Code
Open Positions,Data,Summary,Stocks,USD,BA,-,200,1,348.23272062,69646.544124,325.76,65152,-4494.544124,
Open Positions,Data,Lot,Stocks,USD,BA,"2019-12-20, 16:20:00",100,,334.60741803,33460.741803,325.76,32576,-884.741803,ST
Open Positions,Data,Lot,Stocks,USD,BA,"2019-12-06, 16:20:00",100,,361.85802321,36185.802321,325.76,32576,-3609.802321,ST
Open Positions,Data,Summary,Stocks,USD,CMCSA,-,100,1,44.64736545,4464.736545,44.97,4497,32.263455,
Open Positions,Data,Lot,Stocks,USD,CMCSA,"2019-11-01, 16:20:00",100,,44.64736545,4464.736545,44.97,4497,32.263455,ST
Open Positions,Data,Summary,Stocks,USD,COST,-,200,1,289.97303635,57994.60727,293.92,58784,789.39273,
Open Positions,Data,Lot,Stocks,USD,COST,"2019-12-13, 16:20:00",100,,288.97803107,28897.803107,293.92,29392,494.196893,ST
Open Positions,Data,Lot,Stocks,USD,COST,"2019-12-13, 16:20:00",100,,290.96804163,29096.804163,293.92,29392,295.195837,ST
Open Positions,Data,Summary,Stocks,USD,DD,-,200,1,66.022962865,13204.592573,64.2,12840,-364.592573,
Open Positions,Data,Lot,Stocks,USD,DD,"2019-11-22, 16:20:00",100,,65.79796235,6579.796235,64.2,6420,-159.796235,ST
Open Positions,Data,Lot,Stocks,USD,DD,"2019-11-22, 16:20:00",100,,66.24796338,6624.796338,64.2,6420,-204.796338,ST
Open Positions,Data,Summary,Stocks,USD,DUST,-,400,1,6.3533361,2541.33444,5.62,2248,-293.33444,
Open Positions,Data,Lot,Stocks,USD,DUST,"2019-12-27, 16:20:00",400,,6.3533361,2541.33444,5.62,2248,-293.33444,ST
Open Positions,Data,Summary,Stocks,USD,DXJ,-,100,1,54.18726462,5418.726462,53.78,5378,-40.726462,
Open Positions,Data,Lot,Stocks,USD,DXJ,"2019-12-27, 16:20:00",100,,54.18726462,5418.726462,53.78,5378,-40.726462,ST
Open Positions,Data,Summary,Stocks,USD,EWW,-,200,1,44.19729547,8839.459094,45.03,9006,166.540906,
Open Positions,Data,Lot,Stocks,USD,EWW,"2019-12-13, 16:20:00",200,,44.19729547,8839.459094,45.03,9006,166.540906,ST
Open Positions,Data,Summary,Stocks,USD,FEZ,-,100,1,39.64728615,3964.728615,40.79,4079,114.271385,
Open Positions,Data,Lot,Stocks,USD,FEZ,"2019-12-20, 16:20:00",100,,39.64728615,3964.728615,40.79,4079,114.271385,ST
Open Positions,Data,Summary,Stocks,USD,GD,-,600,1,177.870010912,106722.006547,176.35,105810,-912.006547,
Open Positions,Data,Lot,Stocks,USD,GD,"2019-10-28, 16:20:00",100,,177.89320868,17789.320868,176.35,17635,-154.320868,ST
